식물 이름,사진,학명,설명,물주기,빛,습도,잘 자라는 온도,"겨울철 관리 온도
",특징 색상,식물 유형,가시 유무,잎 모양1,잎 모양2,잎 모양3,잎 모양4,식물경험,"반려식물
안전성",유통 크기,난이도,유통가격,,,,,,,
칼랑코에 엔젤램프,그림,Kalanchoe porphyrocalyx,사랑스러운 종 모양의 꽃이 아름다운 엔젤램프는 도톰한 잎과 풍성한 꽃이 피는 칼랑코에의 한 종류에요. 일반적인 칼랑코에보다 잎이 작고 길쭉하게 생겨 더 앙증맞게 느껴진답니다. 엔젤램프는 다육식물이기 때문에 물을 자주 주지 않아도 되고 건조한 곳에서도 잘 자라 초보 식집사들도 키우기 쉬운 식물이에요. 밤의 길이가 길어져야 꽃을 피우는 단일식물이기 때문에 꽃을 피우기 위해서는 밤시간에는 빛을 차단해주어야 한답니다.,"평균 월 1~2회
통통한 잎이 살짝 쭈글해지면 듬뿍 주세요",양지 ,40~70%,13~26℃,10℃ 이상,초록잎에 붉은 꽃,꽃을 감상하는,,둥근모양,길쭉한,잎 끝이 뾰족한,잎이 두꺼운,초보자,,소형,하,5천원,,,,,,,
포인세티아,그림,Euphorbia pulcherrima,"포인세티아는 진한 녹색을 띠는 잎과 꽃을 보호하는 빨간 포엽의 색 조합이 설레는 크리스마스 분위기를 잘 나타내주어 12월의 주인공 같은 식물이에요. 요즘은 포엽의 색이 핑크, 크림, 피치, 무늬종 등 다양하게 개량되어 취향대로 고르는 재미도 더해졌답니다. 빨간 포엽이 꽃처럼 보이지만, 포엽 위에 노란 작은 알맹이 같은 부분이 실제 포인세티아의 꽃이랍니다. 크리스마스 식물이라 추위에도 강하다고 많이들 생각하지만, 따뜻한 멕시코에서 온 포인세티아는 추위에 아주 약해요. 또한 밝은 빛을 오래 보아야 포엽의 색이 예쁘게 착색되는 양지성 식물이에요. 식물에서 나오는 진액에는 독성이 있어 피부에 닿이면 가려움증을 유발할 수 있으니 주의해서 키워주세요","평균 주 1~2회
화분 속 흙이 다 마르면 듬뿍 주세요",양지 ,40~70%,18~25℃,13℃ 이상,초록잎에 빨간포엽,잎을 감상하는,,별모양,길쭉한,무늬가 있는,잎 끝이 뾰족한,초보자,주의 필요,"소,중형",중,"소: 5천원
중: 1만원 ",,,,,,,
무늬 코스터스,그림,Costus speciosus variegata,"무늬 코스터스는 선명한 녹색의 잎에 크림색의 무늬가 아름다운 희귀 식물이에요. 길게 붓으로 그린 듯한 잎의 무늬가 소박하면서도 화사한 느낌을 자아내어 보드라운 느낌을 가진 잎과 찰떡궁합을 자랑한답니다. 생강목에 속하는 식물로, 줄기가 나선형으로 꼬불꼬불 자라나서 '나선 생강' 이라고도 불려요. 키우기도 까다롭지 않고 성장속도도 빠른 편이어서 식집사들 사이에서 빠르게 입소문을 타고 있는 아이랍니다. 환경에 잘 맞으면 금세 옆에서 자구가 자라나 화분을 가득 메워줄 거예요. 식물체에는 독성이 있어 반려동물이나 아이가 섭취하지 않도록 주의가 필요합니다.","평균 주 1~2회
흙 표면부터 3cm까지 마르면, 듬뿍 주세요",반양지 ,40~70%,15~25℃,13℃ 이상,선명한 녹색의 잎에 크림색무늬,잎을 감상하는,,둥근모양,길쭉한,무늬가 있는,잎 끝이 뾰족한,,주의 필요,소형,중,6천원~1만원,,,,,,,
무늬 아단소니 (몬스테라 아단소니 바리에가타),그림,Monstera adansonii variegata,"구멍이 뽕뽕 뚫린 귀여운 잎에 선명한 흰색, 크림색 무늬가 시선을 사로잡는 몬스테라 아단소니 바리에가타는 '무단이'라는 애칭으로 잘 알려져 있는 몬스테라 아단소니의 잎 변이종이랍니다. 알록달록 잎사귀가 덩굴처럼 뻗어나가며 우아한 수형으로 자란답니다. 잎의 하얀 무늬는 유전적인 변이로 인해 초록색을 띠는 엽록소가 없어서 하얀색으로 보이며, 흰 부분이 많을수록 햇빛을 흡수하여 필요한 양분을 만들어내는 광합성 작용을 잘 하지 못하기 때문에 일반 아단소니보다 더 많은 빛이 필요해요. 잎을 자르면 나오는 수액에 독성이 있으니 아이가 있는 집이나 반려동물이 있는 집에는 주의해서 키워야 해요.","평균 주 1~2회
흙 표면부터 3cm까지 마르면, 듬뿍 주세요",반양지,70% 이상 ,18~26℃,15℃ 이상,"흰색, 크림색 무늬",잎을 감상하는,,둥근모양,길쭉한,무늬가 있는,구멍이 있는,,주의 필요,"소, 중형",중,"소: 2만5천원~4만5천원
중: 30만원",,,,,,,
싱고니움 모히또,그림,Syngonium podophyllym 'Mojito',싱고니움 모히또는 시원한 모히또에 잘게 짖이겨진 애플민트가 가득 들어있는 것 같은 색감의 잎을 가지고 있어요. 진한 녹색의 잎에 이름처럼 싱그럽고 상큼한 밝은 노란색의 무늬가 아름다운 무늬종 싱고니움이랍니다. 다른 싱고니움의 종류보다 서늘한 온도 조건에서 많은 빛을 받아야 아름다운 무늬가 잘 유지된다고 해요. 또한 빛이 드는 방향으로 줄기가 굽어져 자랄 수 있으니 식물 전체에 빛을 골고루 받을 수 있게 주기적으로 화분을 돌리면서 키워주세요. 잎을 자르면 나오는 수액에 독성이 있으니 아이가 있는 집이나 반려동물이 있는 집에는 주의해서 키워야 해요.,"평균 주 1~2회
흙 표면부터 3cm까지 마르면, 듬뿍 주세요",반양지,40~70%,15~25℃,10℃ 이상,초록잎에 밝은노란색의 무늬,잎을 감상하는,,둥근모양,하트모양,길쭉한,무늬가 있는,,주의 필요,소형,중,1만5천원~3만원,,,,,,,
스킨답서스 오레우스 (스킨답서스 만줄라),그림,Epipremnum aureum 'Manjula',"스킨답서스 오레우스는 흰 도화지에 초록색 물감으로 그린 수채화 같은 잎을 가진 식물이에요. 잎 한 장에서 흰색, 녹색, 회색, 베이지색, 민트색 등 다양한 색감을 느낄 수 있고, 아름답고 우아한 느낌을 자아낸답니다. 스킨답서스 오레우스는 다른 스킨답서스보다 잎이 더 크고 둥그며, 성장 속도도 느린 편에 속해요. 잎에 흰 지분이 많은만큼 은은한 빛을 충분히 받을 수 있는 곳에서 키워주셔야 아름다운 무늬를 감상할 수 있어요. 스킨답서스 오레우스는 일산화탄소 제거능력이 뛰어난 공기정화 식물이지만 식물에 독성이 있어 아이들과 반려동물이 먹으면 위험하니 섭취하지 않도록 주의해주세요.","평균 주 1~2회
흙 표면부터 3cm까지 마르면, 듬뿍 주세요",반양지,40~70%,21~32℃,13℃ 이상,"희색에 초록무늬, 수채화느낌",잎을 감상하는,,둥근모양,하트모양,무늬가 있는,잎 끝이 뾰족한,,주의 필요,소형,중,1만원~1만5천원,,,,,,,
몬스테라 스탠들리아나 (위시본),그림,Monstera standleyana,"몬스테라 스탠들리아나는 짙은 녹색의 윤기나는 달걀형의 잎이 싱그러운 식물입니다. 레몬 빛의 무늬가 나오면 한층 더 싱그러워지는 몬스테라 스탠들리아나는 무늬가 나타나는 형태가 다양해 '단 하나 뿐인 식물'을 키우는 보람을 느낄 수 있어요. 그 생김새와 특성이 필로덴드론과 비슷해서 '필로덴드론 위시본'이라고도 알려져 있지만 엄연한 몬스테라 가족이랍니다. 몬스테라 스탠들리아나는 60%이상의 습도조건에서 과습에 주의해서 키워줘야 하고, 레몬빛의 무늬가 많을수록 많은 양의 빛을 필요로 한답니다. 식물체에는 독성이 있어 반려동물이 섭취하지 않도록 주의가 필요해요.","평균 주 1~2회
흙 표면부터 3cm까지 마르면, 듬뿍 주세요",반양지,40~70%,18~26℃,13℃ 이상,짙은녹색에 노란 무늬,잎을 감상하는,,둥근모양,길쭉한,무늬가 있는,잎 끝이 뾰족한,,주의 필요,소형,중,1만원~1만5천원,,,,,,,
몬스테라 카스테니안,그림,Monstera karstenianum,"몬스테라 카스테니안은 올록볼록 근육이 나온 것 같은 재밌는 모양의 두꺼운 잎을 가지고 있어요. 짙은 녹색의 잎에 엠보싱이 더해져 신비로운 느낌을 주고, 덩굴성의 줄기를 가지고 있어 야생에서는 나무를 타고 올라가며 자라는 식물이랍니다. 페루가 원산지라 '몬스테라 페루'라고도 불러요. 카스테니안은 빛이 적은 곳에서도 잘 자라고 평균 실내 습도에도 잘 적응하여 키우기 어렵지 않은 순둥이 식물에 속하지만 다른 몬스테라 종류에 비해 성장속도가 느린 편에 속해요. 식물체에는 독성이 있어 반려동물이 섭취하지 않도록 주의가 필요해요.","평균 주 1~2회
흙 표면부터 3cm까지 마르면, 듬뿍 주세요",반음지,40~70%,16~30℃,13℃ 이상,짙은녹색 ,잎을 감상하는,,둥근모양,길쭉한,무늬가 있는,잎 끝이 뾰족한,초보자,주의 필요,소형,하,2만원~4만원,,,,,,,
필로덴드론 마요이,그림,Philodendron 'Mayoi',"시원하게 갈라진 반질반질한 잎이 유니크한 필로덴드론 마요이는 필로덴드론 친구들 중에 독보적인 생김새로 식집사들의 워너비 식물로 꼽혀요. 마요이는 잎의 존재감이 크고, 수형이 독특해 마요이 하나만으로도 훌륭한 뷰포인트가 된답니다. 어린 잎은 통통한 아기 손처럼 자라지만, 성체가 되면 멋스러운 길쭉길쭉 갈라진 잎을 보여줘요. 줄기가 옆으로 퍼지듯이 자라는 마요이는 주변 공기를 따뜻하게, 그리고 촉촉하게 관리해주시면 건강하게 잘 키울 수 있어요. 필로덴드론의 종류답게 공기 중의 포름알데히드와 일산화탄소를 제거하는 능력이 뛰어나 실내 공기정화 식물로의 역할도 수행해요.","평균 주 1~2회
흙 표면부터 3cm까지 마르면, 듬뿍 주세요",반양지,40~70%,18~26℃,13℃ 이상,짙은녹색 ,잎을 감상하는,,별모양,길쭉한,갈라진,잎 끝이 뾰족한,,,"소, 중형",중,"소: 2만원~3만원
중: 8만원~15만원",,,,,,,
알로카시아 잭클린,그림,Alocasia 'Jacklyn',"알로카시아 잭클린은 마치 악어 가죽같은 질감의 잎이 아주 매력적인 식물이예요. 하얀 줄기에는 얼룩무늬가 있어서 잎과 어우러졌을 때 신비로운 분위기를 자아낸답니다. 잭클린은 은은한 빛이 드는 곳에서 따뜻하게 관리해주시고, 주변 습도가 너무 낮아지지 않도록 관리해주세요. 과습에는 예민한 식물이기 때문에 물주기에 주의를 기울여준다면 더 건강하게 키우실 수 있어요.","평균 주 1~2회
흙 표면부터 3cm까지 마르면, 듬뿍 주세요",반음지,40~70%,18~27℃,15℃ 이상,짙은초록,잎을 감상하는,,하트모양,길쭉한,무늬가 있는,잎 끝이 뾰족한,,,"소, 중형",상,"소: 6천원~1만원
중: 10만원~25만원",,,,,,,
필로덴드론 '프린스 오브 오렌지' (선라이트 콩고),그림,Philodendron 'Prince Of Orange',"붉게 물른 저녁 노을의 아름다운 빛깔을 품은 필로덴드론 프린스 오브 오렌지는 필로덴드론 콩고의 잎 변이종이랍니다. 밝은 주황빛을 띠는 새 잎은 성장할수록 상큼한 연두색으로 변해 하나의 잎에서 다양한 색의 변화를 느낄 수 있어요. 빛이 적은 곳에서도 잘 자라고 키우기도 까다롭지 않아 기르기에도 쉽고 실내공기를 정화해주는 능력도 있어 인테리어는 물론, 실내공기정화식물로서의 역할도 톡톡히 해낸답니다. 프린스 오브 오렌지는 덩굴로 자라지 않고 위로 향해 자라는 직립형 필로덴드론이라 수형관리도 쉬워요. 식물체에는 독성이 있으므로 어린아이와 반려동물이 있는 집에서는 주의가 필요해요.","평균 주 1~2회
흙 표면부터 3cm까지 마르면, 듬뿍 주세요",반양지,70% 이상,20~25℃,15℃ 이상,밝은 주황을 띠는 새잎에서 연두색으로 변함,잎을 감상하는,,둥근모양,길쭉한,잎이 두꺼운,잎이 빳빳한,,주의 필요,소형,,1만원~1만5천원,,,,,,,
필로덴드론 호세부오노,그림,Philodendron 'Jose Buono',"길쭉한 하트모양의 시원시원한 잎에 아름다운 흰색 무늬를 가진 필로덴드론 호세부오노는 무늬종 필로덴드론 중에서도 키우기 까다롭지 않은 편에 속해요. 흙 위로 공중 뿌리가 자라나며 줄기를 지지하기도 하며, 수태봉으로 지지해주면 잎이 더 힘있고 크게 성장한답니다. 버럴막스는 열대우림같은 환경에서 가장 잘 자라요. 주변 공기를 따뜻하게, 그리고 촉촉하게 관리해주시면 건강하게 잘 키울 수 있어요. 필로덴드론의 종류답게 공기 중의 포름알데히드와 일산화탄소를 제거하는 능력이 뛰어나 실내 공기정화 식물로의 역할도 수행해요.","평균 주 1~2회
흙 표면부터 3cm까지 마르면, 듬뿍 주세요",반양지,40~70%,16~27℃,13℃ 이상,초록잎에 흰색무늬,잎을 감상하는,,둥근모양,하트모양,길쭉한,무늬가 있는,초보자,,소형,중,1만원~2만원,,,,,,,
스킨답서스 화이트 마블퀸 (마블퀸 스킨답서스),그림,Epipremnum aureum 'Marble Queen',"스킨답서스 화이트 마블퀸은 흰 바탕에 초록빛 유화물감을 칠한 것 같은 아름다운 산반무늬 잎을 가진 덩굴성 식물입니다. 스킨답서스답게 키우기 까다롭지는 않지만, 잎에 흰 지분이 많은만큼 밝은 빛을 충분히 받을 수 있는 곳에서 키워주셔야 아름다운 무늬를 감상할 수 있어요. 주변 공기를 너무 건조하지 않게 키워주시면 금세 줄기를 길게 늘어뜨려 아름다운 모습으로 변할 거에요. 스킨답서스 화이트 마블퀸은 일산화탄소 제거능력이 뛰어난 공기정화 식물이지만 식물에 독성이 있어 아이들과 반려동물이 먹으면 위험하니 섭취하지 않도록 주의해주세요.","평균 주 1~2회
흙 표면부터 3cm까지 마르면, 듬뿍 주세요",반양지,40~70%,21~25℃,13℃ 이상,흰바탕에 초록무늬,잎을 감상하는,,둥근모양,길쭉한,무늬가 있는,잎 끝이 뾰족한,,주의 필요,소형,중,7천원~1만5천원,,,,,,,
하트 호야 (호야 케리),그림,Hoya kerrii,"통통한 하트모양의 잎이 사랑스러운 하트호야는 예쁜 생김새는 물론이고 키우기도 까다롭지 않아 식물을 처음 키우는 초보 식집사에게 선물하기 좋은 식물입니다. 그 사랑스러운 생김새 _문에 서양에서는 연인에게 발렌타인 데이에 하트호야를 선물한다고 해요. 그래서 'Sweetheart Vine', 'Valentine's Hoya'라고도 불리운답니다. 통통한 잎에는 수분을 많이 머금고 있어 물을 자주 주지 않아도 되고, 평균 실내 습도에서도 잘 자라 대표적인 순둥이 식물이랍니다. 식물 가게에서 하트모양의 잎만 뿅 심겨져 있는 하트호야도 많이 보셨을텐데, 이 잎꽂이 하트호야는 생장점 없이 뿌리만 발달되어 새 잎이 나거나 꽃이 피지 않고 그 모양 그대로 유지된다고 해요. 원래의 하트호야는 줄기를 늘어뜨리며 자라는 덩굴식물이에요. 밝은 빛을 충분히 받고 자라면 아름다운 꽃도 보실 수 있답니다.","평균 월 1~2회
통통한 잎이 얇아지면 듬뿍 주세요",양지,40~70%,16~27°C,10℃ 이상,밝은초록,잎을 감상하는,,둥근모양,하트모양,무늬가 있는,잎이 두꺼운,초보자,안전,소형,하,8천원~1만원 ,,,,,,,
바나나 크로톤,그림,Codiaeum variegatum 'Banana',바나나 모양의 잎에 선명한 노란 무늬가 있는 바나나 크로톤은 색감이 예쁘고 키우기 쉬워 오랫동안 사랑 받는 실내 공기정화 식물이예요. 열대지방 출신이라 추위에 약하므로 항상 따뜻한 곳에서 키워주세요. 바나나 크로톤은 따뜻하고 은은한 빛이 드는 곳에서 키워주시면 누구나 쉽게 키울 수 있는 식물입니다.,"평균 주 1~2회
흙 표면부터 3cm까지 마르면, 듬뿍 주세요",반양지,40~70%,21~27℃,13℃ 이상,초록잎에 노란무늬,잎을 감상하는,,둥근모양,길쭉한,무늬가 있는,잎이 두꺼운,초보자,,"소, 중형",하,"소: 4천원~1만원
중: 2만5천원~4만원",,,,,,,
